Model,Dataset,Metric,Value
GRU,ego,orbit,7331.9
Data,ego,orbit,601.0
GRU,ego,orbit,321.1
Data,ego,orbit,243.0
GRU,ego,orbit,55.8
Data,ego,orbit,135.0
GRU,ego,orbit,14.3
Data,ego,orbit,60.0
GRU,ego,orbit,6.0
Data,ego,orbit,35.0
GRU,ego,orbit,3.5
Data,ego,orbit,23.0
GRU,ego,orbit,1.3
Data,ego,orbit,20.0
GRU,ego,orbit,1.3
Data,ego,orbit,19.0
GRU,ego,orbit,0.6
Data,ego,orbit,22.0
GRU,ego,orbit,0.5
Data,ego,orbit,2.0
GRU,ego,orbit,0.4
Data,ego,orbit,8.0
GRU,ego,orbit,0.1
Data,ego,orbit,7.0
GRU,ego,orbit,0.1
Data,ego,orbit,5.0
GRU,ego,orbit,0.1
Data,ego,orbit,4.0
GRU,ego,orbit,0.0
Data,ego,orbit,5.0
GRU,ego,orbit,0.0
Data,ego,orbit,1.0
GRU,ego,orbit,0.0
Data,ego,orbit,5.0
GRU,ego,orbit,0.0
Data,ego,orbit,3.0
GRU,ego,orbit,0.0
Data,ego,orbit,6.0
GRU,ego,orbit,0.0
Data,ego,orbit,2.0
GRU,ego,orbit,0.0
Data,ego,orbit,2.0
GRU,ego,orbit,0.0
Data,ego,orbit,1.0
GRU,ego,orbit,0.0
Data,ego,orbit,1.0
GRU,ego,orbit,0.0
Data,ego,orbit,2.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,1.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,1.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,1.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,1.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,1.0
GRU,ego,orbit,0.0
Data,ego,orbit,1.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,1.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,0.0
GRU,ego,orbit,0.0
Data,ego,orbit,1.0
GRU,ego,orbit,0.0
Data,ego,nspdk,33675514.0
GRU,ego,nspdk,33702701.0
Data,ego,nspdk,15666.0
GRU,ego,nspdk,323.7
Data,ego,nspdk,11390.0
GRU,ego,nspdk,991.8
Data,ego,nspdk,11737.0
GRU,ego,nspdk,2198.8
Data,ego,nspdk,9606.4
GRU,ego,nspdk,4381.9
Data,ego,nspdk,8942.6
GRU,ego,nspdk,5682.1
Data,ego,nspdk,8929.0
GRU,ego,nspdk,5953.6
Data,ego,nspdk,7377.0
GRU,ego,nspdk,6239.7
Data,ego,nspdk,6204.0
GRU,ego,nspdk,6101.2
Data,ego,nspdk,5710.2
GRU,ego,nspdk,5764.1
Data,ego,nspdk,5531.8
GRU,ego,nspdk,5944.5
Data,ego,nspdk,4346.0
GRU,ego,nspdk,5679.5
Data,ego,nspdk,3610.0
GRU,ego,nspdk,6588.2
Data,ego,nspdk,3641.0
GRU,ego,nspdk,5123.5
Data,ego,nspdk,2838.0
GRU,ego,nspdk,3397.7
Data,ego,nspdk,2905.0
GRU,ego,nspdk,3539.7
Data,ego,nspdk,2488.0
GRU,ego,nspdk,2776.0
Data,ego,nspdk,2275.0
GRU,ego,nspdk,2538.1
Data,ego,nspdk,2011.0
GRU,ego,nspdk,2303.1
Data,ego,nspdk,1530.1
GRU,ego,nspdk,1818.8
Data,ego,nspdk,1807.9
GRU,ego,nspdk,1905.9
Data,ego,nspdk,1438.0
GRU,ego,nspdk,1634.8
Data,ego,nspdk,1476.0
GRU,ego,nspdk,1761.0
Data,ego,nspdk,1157.0
GRU,ego,nspdk,1282.9
Data,ego,nspdk,1140.8
GRU,ego,nspdk,1065.8
Data,ego,nspdk,1156.2
GRU,ego,nspdk,1250.3
Data,ego,nspdk,931.0
GRU,ego,nspdk,1013.8
Data,ego,nspdk,969.0
GRU,ego,nspdk,970.5
Data,ego,nspdk,1042.0
GRU,ego,nspdk,908.0
Data,ego,nspdk,895.1
GRU,ego,nspdk,903.7
Data,ego,nspdk,978.9
GRU,ego,nspdk,818.2
Data,ego,nspdk,732.0
GRU,ego,nspdk,645.6
Data,ego,nspdk,723.0
GRU,ego,nspdk,559.5
Data,ego,nspdk,790.0
GRU,ego,nspdk,637.9
Data,ego,nspdk,596.0
GRU,ego,nspdk,459.2
Data,ego,nspdk,670.0
GRU,ego,nspdk,554.1
Data,ego,nspdk,504.0
GRU,ego,nspdk,436.8
Data,ego,nspdk,761.0
GRU,ego,nspdk,639.3
Data,ego,nspdk,482.0
GRU,ego,nspdk,443.3
Data,ego,nspdk,361.3
GRU,ego,nspdk,381.1
Data,ego,nspdk,711.7
GRU,ego,nspdk,597.2
Data,ego,nspdk,325.0
GRU,ego,nspdk,276.4
Data,ego,nspdk,305.0
GRU,ego,nspdk,222.4
Data,ego,nspdk,334.0
GRU,ego,nspdk,231.1
Data,ego,nspdk,502.4
GRU,ego,nspdk,444.4
Data,ego,nspdk,261.6
GRU,ego,nspdk,189.6
Data,ego,nspdk,220.0
GRU,ego,nspdk,207.8
Data,ego,nspdk,351.0
GRU,ego,nspdk,264.4
Data,ego,nspdk,289.0
GRU,ego,nspdk,173.4
Data,ego,nspdk,161.4
GRU,ego,nspdk,116.4
Data,ego,nspdk,231.6
GRU,ego,nspdk,207.2
Data,ego,nspdk,299.0
GRU,ego,nspdk,260.0
Data,ego,nspdk,104.0
GRU,ego,nspdk,64.8
Data,ego,nspdk,352.0
GRU,ego,nspdk,388.3
Data,ego,nspdk,150.0
GRU,ego,nspdk,142.7
Data,ego,nspdk,49.0
GRU,ego,nspdk,38.5
Data,ego,nspdk,50.0
GRU,ego,nspdk,22.1
Data,ego,nspdk,99.0
GRU,ego,nspdk,88.6
Data,ego,nspdk,40.0
GRU,ego,nspdk,28.9
Data,ego,nspdk,125.0
GRU,ego,nspdk,208.4
Data,ego,nspdk,38.0
GRU,ego,nspdk,17.5
Data,ego,nspdk,72.0
GRU,ego,nspdk,85.5
Data,ego,nspdk,34.0
GRU,ego,nspdk,16.4
Data,ego,nspdk,26.0
GRU,ego,nspdk,42.3
Data,ego,nspdk,21.0
GRU,ego,nspdk,24.3
Data,ego,nspdk,31.0
GRU,ego,nspdk,8.7
Data,ego,nspdk,98.0
GRU,ego,nspdk,155.7
Data,ego,nspdk,100.0
GRU,ego,nspdk,127.8
Data,ego,nspdk,126.0
GRU,ego,nspdk,103.2
Data,ego,nspdk,69.0
GRU,ego,nspdk,58.3
Data,ego,nspdk,479.0
GRU,ego,nspdk,597.5
Data,ego,nspdk,5.0
GRU,ego,nspdk,2.5
Data,ego,nspdk,2.0
GRU,ego,nspdk,0.2
Data,ego,nspdk,4.0
GRU,ego,nspdk,5.3
Data,ego,nspdk,10.0
GRU,ego,nspdk,0.1
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.4
Data,ego,nspdk,37.0
GRU,ego,nspdk,69.9
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.1
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.6
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.4
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.4
Data,ego,nspdk,116.0
GRU,ego,nspdk,125.4
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,1.6
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,1.2
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,0.0
Data,ego,nspdk,0.0
GRU,ego,nspdk,48.0
Data,ENZYMES,betweenness,833.1
GRU,ENZYMES,betweenness,670.9
Data,ENZYMES,betweenness,160.6
GRU,ENZYMES,betweenness,58.0
Data,ENZYMES,betweenness,138.0
GRU,ENZYMES,betweenness,53.4
Data,ENZYMES,betweenness,127.5
GRU,ENZYMES,betweenness,45.2
Data,ENZYMES,betweenness,96.2
GRU,ENZYMES,betweenness,47.1
Data,ENZYMES,betweenness,94.5
GRU,ENZYMES,betweenness,39.8
Data,ENZYMES,betweenness,102.8
GRU,ENZYMES,betweenness,41.4
Data,ENZYMES,betweenness,90.4
GRU,ENZYMES,betweenness,36.1
Data,ENZYMES,betweenness,64.7
GRU,ENZYMES,betweenness,38.9
Data,ENZYMES,betweenness,70.8
GRU,ENZYMES,betweenness,25.4
Data,ENZYMES,betweenness,64.5
GRU,ENZYMES,betweenness,30.3
Data,ENZYMES,betweenness,65.4
GRU,ENZYMES,betweenness,31.3
Data,ENZYMES,betweenness,75.3
GRU,ENZYMES,betweenness,27.3
Data,ENZYMES,betweenness,63.9
GRU,ENZYMES,betweenness,27.5
Data,ENZYMES,betweenness,58.7
GRU,ENZYMES,betweenness,31.5
Data,ENZYMES,betweenness,54.8
GRU,ENZYMES,betweenness,34.7
Data,ENZYMES,betweenness,48.4
GRU,ENZYMES,betweenness,30.4
Data,ENZYMES,betweenness,50.7
GRU,ENZYMES,betweenness,36.2
Data,ENZYMES,betweenness,55.7
GRU,ENZYMES,betweenness,21.5
Data,ENZYMES,betweenness,49.2
GRU,ENZYMES,betweenness,28.5
Data,ENZYMES,betweenness,46.5
GRU,ENZYMES,betweenness,24.1
Data,ENZYMES,betweenness,53.8
GRU,ENZYMES,betweenness,19.9
Data,ENZYMES,betweenness,48.9
GRU,ENZYMES,betweenness,21.2
Data,ENZYMES,betweenness,59.1
GRU,ENZYMES,betweenness,20.6
Data,ENZYMES,betweenness,62.6
GRU,ENZYMES,betweenness,20.6
Data,ENZYMES,betweenness,46.9
GRU,ENZYMES,betweenness,17.9
Data,ENZYMES,betweenness,50.3
GRU,ENZYMES,betweenness,18.1
Data,ENZYMES,betweenness,56.5
GRU,ENZYMES,betweenness,16.7
Data,ENZYMES,betweenness,52.4
GRU,ENZYMES,betweenness,17.6
Data,ENZYMES,betweenness,48.6
GRU,ENZYMES,betweenness,17.3
Data,ENZYMES,betweenness,48.3
GRU,ENZYMES,betweenness,16.5
Data,ENZYMES,betweenness,46.7
GRU,ENZYMES,betweenness,14.2
Data,ENZYMES,betweenness,39.8
GRU,ENZYMES,betweenness,12.5
Data,ENZYMES,betweenness,23.4
GRU,ENZYMES,betweenness,17.0
Data,ENZYMES,betweenness,18.6
GRU,ENZYMES,betweenness,16.3
Data,ENZYMES,betweenness,19.6
GRU,ENZYMES,betweenness,13.3
Data,ENZYMES,betweenness,22.4
GRU,ENZYMES,betweenness,11.7
Data,ENZYMES,betweenness,16.3
GRU,ENZYMES,betweenness,8.9
Data,ENZYMES,betweenness,18.1
GRU,ENZYMES,betweenness,13.1
Data,ENZYMES,betweenness,18.1
GRU,ENZYMES,betweenness,7.8
Data,ENZYMES,betweenness,14.9
GRU,ENZYMES,betweenness,11.7
Data,ENZYMES,betweenness,18.8
GRU,ENZYMES,betweenness,10.6
Data,ENZYMES,betweenness,18.1
GRU,ENZYMES,betweenness,10.2
Data,ENZYMES,betweenness,17.6
GRU,ENZYMES,betweenness,12.2
Data,ENZYMES,betweenness,16.5
GRU,ENZYMES,betweenness,8.5
Data,ENZYMES,betweenness,14.3
GRU,ENZYMES,betweenness,15.3
Data,ENZYMES,betweenness,12.7
GRU,ENZYMES,betweenness,6.5
Data,ENZYMES,betweenness,13.1
GRU,ENZYMES,betweenness,14.3
Data,ENZYMES,betweenness,15.3
GRU,ENZYMES,betweenness,6.9
Data,ENZYMES,betweenness,11.9
GRU,ENZYMES,betweenness,8.0
Data,ENZYMES,betweenness,12.8
GRU,ENZYMES,betweenness,5.4
Data,ENZYMES,betweenness,15.0
GRU,ENZYMES,betweenness,15.3
Data,ENZYMES,betweenness,12.6
GRU,ENZYMES,betweenness,8.2
Data,ENZYMES,betweenness,10.8
GRU,ENZYMES,betweenness,15.8
Data,ENZYMES,betweenness,10.7
GRU,ENZYMES,betweenness,6.0
Data,ENZYMES,betweenness,11.4
GRU,ENZYMES,betweenness,11.3
Data,ENZYMES,betweenness,10.2
GRU,ENZYMES,betweenness,5.1
Data,ENZYMES,betweenness,11.7
GRU,ENZYMES,betweenness,2.2
Data,ENZYMES,betweenness,11.3
GRU,ENZYMES,betweenness,11.9
Data,ENZYMES,betweenness,10.8
GRU,ENZYMES,betweenness,5.5
Data,ENZYMES,betweenness,10.2
GRU,ENZYMES,betweenness,9.4
Data,ENZYMES,betweenness,9.1
GRU,ENZYMES,betweenness,6.2
Data,ENZYMES,betweenness,7.9
GRU,ENZYMES,betweenness,5.6
Data,ENZYMES,betweenness,8.0
GRU,ENZYMES,betweenness,14.2
Data,ENZYMES,betweenness,9.3
GRU,ENZYMES,betweenness,6.9
Data,ENZYMES,betweenness,6.3
GRU,ENZYMES,betweenness,6.0
Data,ENZYMES,betweenness,5.9
GRU,ENZYMES,betweenness,7.7
Data,ENZYMES,betweenness,8.1
GRU,ENZYMES,betweenness,2.1
Data,ENZYMES,betweenness,7.4
GRU,ENZYMES,betweenness,12.5
Data,ENZYMES,betweenness,4.5
GRU,ENZYMES,betweenness,3.9
Data,ENZYMES,betweenness,0.9
GRU,ENZYMES,betweenness,3.1
Data,ENZYMES,betweenness,1.6
GRU,ENZYMES,betweenness,10.0
Data,ENZYMES,betweenness,0.9
GRU,ENZYMES,betweenness,1.5
Data,ENZYMES,betweenness,0.3
GRU,ENZYMES,betweenness,0.7
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.8
Data,ENZYMES,betweenness,0.2
GRU,ENZYMES,betweenness,0.8
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.2
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.6
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.9
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.6
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.2
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.2
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.3
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.4
Data,ENZYMES,betweenness,0.1
GRU,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.2
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.2
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.4
Data,ENZYMES,betweenness,0.1
GRU,ENZYMES,betweenness,0.4
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.2
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.1
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.1
Data,ENZYMES,betweenness,0.1
GRU,ENZYMES,betweenness,0.2
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.1
Data,ENZYMES,betweenness,0.1
GRU,ENZYMES,betweenness,0.2
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.0
Data,ENZYMES,betweenness,0.1
GRU,ENZYMES,betweenness,0.1
Data,ENZYMES,betweenness,0.0
GRU,ENZYMES,betweenness,0.1
Data,ENZYMES,betweenness,0.3
GRU,ENZYMES,betweenness,0.9
Data,ENZYMES,clustering,391.0
GRU,ENZYMES,clustering,681.7
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.1
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.2
Data,ENZYMES,clustering,1.0
GRU,ENZYMES,clustering,0.6
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.1
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,2.5
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.4
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.3
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.9
Data,ENZYMES,clustering,20.0
GRU,ENZYMES,clustering,10.2
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.3
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.1
Data,ENZYMES,clustering,12.0
GRU,ENZYMES,clustering,2.5
Data,ENZYMES,clustering,1.0
GRU,ENZYMES,clustering,1.7
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.1
Data,ENZYMES,clustering,122.0
GRU,ENZYMES,clustering,33.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.5
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,1.0
GRU,ENZYMES,clustering,0.7
Data,ENZYMES,clustering,55.0
GRU,ENZYMES,clustering,15.7
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.4
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.2
Data,ENZYMES,clustering,6.0
GRU,ENZYMES,clustering,2.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,1.0
GRU,ENZYMES,clustering,0.5
Data,ENZYMES,clustering,13.0
GRU,ENZYMES,clustering,4.9
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.1
Data,ENZYMES,clustering,10.0
GRU,ENZYMES,clustering,1.3
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,97.0
GRU,ENZYMES,clustering,15.2
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.5
Data,ENZYMES,clustering,545.0
GRU,ENZYMES,clustering,302.2
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,5.0
GRU,ENZYMES,clustering,0.1
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,13.0
GRU,ENZYMES,clustering,0.7
Data,ENZYMES,clustering,1.0
GRU,ENZYMES,clustering,0.2
Data,ENZYMES,clustering,250.0
GRU,ENZYMES,clustering,30.2
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,6.0
GRU,ENZYMES,clustering,1.1
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,33.0
GRU,ENZYMES,clustering,3.7
Data,ENZYMES,clustering,5.0
GRU,ENZYMES,clustering,0.4
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,571.0
GRU,ENZYMES,clustering,200.8
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,16.0
GRU,ENZYMES,clustering,1.2
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,98.0
GRU,ENZYMES,clustering,11.1
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,702.0
GRU,ENZYMES,clustering,303.1
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,10.0
GRU,ENZYMES,clustering,0.9
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,3.0
GRU,ENZYMES,clustering,0.2
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,81.0
GRU,ENZYMES,clustering,5.8
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,3.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,0.0
GRU,ENZYMES,clustering,0.0
Data,ENZYMES,clustering,442.0
GRU,ENZYMES,clustering,331.2
Data,ENZYMES,degree,8.0
GRU,ENZYMES,degree,287.0
Data,ENZYMES,degree,0.0
GRU,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
GRU,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
GRU,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
GRU,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
GRU,ENZYMES,degree,0.0
Data,ENZYMES,degree,0.0
GRU,ENZYMES,degree,0.0
Data,ENZYMES,degree,10.7
GRU,ENZYMES,degree,52.9
Data,ENZYMES,degree,0.0
GRU,ENZYMES,degree,0.0
Data,ENZYMES,degree,53.5
